year,month,month1,year1,confirmedCount_month,suspectedCount_month,curedCount_month,deadCount_month
2021,01,01,2021,2110.0,14.0,853.0,2.0
2021,02,02,2021,109.0,0.0,1356.0,0.0
2021,03,03,2021,22.0,0.0,12.0,0.0
2021,04,04,2021,277.0,0.0,224.0,0.0
2021,05,05,2021,416.0,0.0,426.0,0.0
2021,06,06,2021,135.0,10.0,74.0,0.0
2021,07,07,2021,496.0,50.0,121.0,0.0
2021,08,08,2021,1233.0,0.0,316.0,0.0
2021,09,09,2021,22.0,0.0,404.0,0.0
2021,10,10,2021,825.0,0.0,745.0,0.0
2021,11,11,2021,1503.0,0.0,1626.0,0.0
2021,12,12,2021,2852.0,0.0,1017.0,0.0
2022,01,01,2022,4191.0,0.0,4422.0,0.0
2022,02,02,2022,3785.0,0.0,2361.0,0.0
2022,03,03,2022,41895.0,0.0,14771.0,2.0
2022,04,04,2022,116071.0,36.0,97380.0,768.0
2022,05,05,2022,16861.0,1.0,78435.0,498.0
2022,06,06,2022,2230.0,0.0,4486.0,0.0
2022,07,07,2022,4207.0,0.0,2827.0,0.0
2022,08,08,2022,13478.0,0.0,8815.0,0.0
2022,09,09,2022,7001.0,0.0,10317.0,0.0
2022,10,10,2022,9335.0,0.0,8045.0,0.0
2022,11,11,2022,56562.0,0.0,26747.0,7.0
2022,12,12,2022,45866.0,0.0,48138.0,2.0
