,year,region,counts
0,2022,上海,1338
1,2022,中国,68
2,2022,中国台湾,26
3,2022,中国澳门,6
4,2022,中国香港,60
5,2022,云南,220
6,2022,以色列,1
7,2022,俄罗斯,3
8,2022,内蒙古,171
9,2022,几内亚,2
10,2022,加拿大,50
11,2022,北京,35028
12,2022,吉林,283
13,2022,哈萨克斯坦,1
14,2022,四川,758
15,2022,土耳其,1
16,2022,埃及,1
17,2022,埃塞俄比亚,1
18,2022,墨西哥,7
19,2022,天津,1964
20,2022,奥地利,1
21,2022,宁夏,46
22,2022,安徽,489
23,2022,尼日利亚,1
24,2022,山东,1881
25,2022,山西,306
26,2022,巴西,2
27,2022,广东,3089
28,2022,广西,312
29,2022,德国,17
30,2022,意大利,3
31,2022,挪威,1
32,2022,新加坡,24
33,2022,新疆,120
34,2022,新西兰,6
35,2022,日本,43
36,2022,江苏,1585
37,2022,江西,340
38,2022,河北,3528
39,2022,河南,893
40,2022,法国,21
41,2022,泰国,3
42,2022,浙江,1313
43,2022,海南,96
44,2022,湖北,682
45,2022,湖南,455
46,2022,澳大利亚,22
47,2022,瑞典,1
48,2022,瑞士,1
49,2022,甘肃,118
50,2022,福建,573
51,2022,缅甸,1
52,2022,美国,121
53,2022,英国,42
54,2022,荷兰,2
55,2022,菲律宾,1
56,2022,西班牙,4
57,2022,西藏,7
58,2022,贵州,112
59,2022,越南,1
60,2022,辽宁,870
61,2022,重庆,2131
62,2022,阿尔及利亚,1
63,2022,阿联酋,1
64,2022,陕西,502
65,2022,青海,22
66,2022,韩国,5
67,2022,马来西亚,13
68,2022,黑龙江,394
